Jeu,Titre,Chaîne,Nombre de vues,Date de la mise en ligne,Lien de la vidéo
Dota 2,EG vs TUNDRA - INCREDIBLE GAME - LIMA MAJOR 2023 DOTA 2,NoobFromUA,112000,il y a 1 jour,https://www.youtube.com/watch?v=bmqm62rjh4A
Dota 2,EG vs PSG.LGD - LIMA MAJOR 2023 - GROUP STAGE DOTA 2,NoobFromUA,73000,il y a 3 jours,https://www.youtube.com/watch?v=IjIT4pQWFv8
Dota 2,the worst deny in the history of dota 2,DotaCinema,71000,il y a 5 jours,https://www.youtube.com/watch?v=P8dH-44KXwE
Dota 2,SHOPIFY REBELLION (ex.EG) vs ENTITY - NA vs WEU - LIMA MAJOR 2023 DOTA 2,NoobFromUA,56000,il y a 2 jours,https://www.youtube.com/watch?v=W-dgQm5GRio
Dota 2,TEAM SPIRIT vs PSG.LGD - TI10 FINAL REMATCH - LIMA MAJOR 2023 DOTA 2,NoobFromUA,78000,il y a 2 jours,https://www.youtube.com/watch?v=zKnPqYoivyw
Dota 2,TUNDRA vs PSG.LGD - TI WINNERS - LIMA MAJOR 2023 DOTA 2,NoobFromUA,75000,il y a 1 jour,https://www.youtube.com/watch?v=943EfjXXmNI
Dota 2,why this spell made so many people remove Dota 2,elwonoccino,54000,il y a 4 jours,https://www.youtube.com/watch?v=k23HmSLQ8QA
Dota 2,How Topson turned this RANKED game into TURBO 🚀,Topson,50000,il y a 4 jours,https://www.youtube.com/watch?v=S8LjumsNxw0
Dota 2,SHOPIFY REBELLION (ex.EG) vs GEEK SLATE - NA vs SEA - LIMA MAJOR 2023 DOTA 2,NoobFromUA,46000,il y a 1 jour,https://www.youtube.com/watch?v=riw32iuRAss
Dota 2,The NEW KING of Support - Everyone is SLEEPING on this BROKEN HERO - Dota 2 Support Guide,GameLeap Dota 2 Pro Guides,21000,il y a 4 jours,https://www.youtube.com/watch?v=rrvwcoMdEzA
Dota 2,Lima Major 2023 Group Stage Day 1 - Line A,4D Esports,185000,Diffusé il y a 3 jours,https://www.youtube.com/watch?v=7uV_Ty8YtVY
Dota 2,[FIL] Geek Slate vs HellRaisers (BO2) | Lima Major 2023 : Groupstage Day 1,KuyaNic,133000,Diffusé il y a 3 jours,https://www.youtube.com/watch?v=cgHl4kShtWU
Dota 2,Topson's Morphling is GRANDMASTER for a reason ✔,Topson,44000,il y a 6 jours,https://www.youtube.com/watch?v=-GBVpQux_nQ
Dota 2,Why Topson is the SNEAKIEST RIKI ever!,Topson,42000,il y a 7 jours,https://www.youtube.com/watch?v=swjmAkQLDeA
Dota 2,This NEW BUILD = DO NOTHING AND WIN - Abuse Doom NOW to RANK UP - Dota 2 Pro Guide,GameLeap Dota 2 Pro Guides,17000,il y a 5 jours,https://www.youtube.com/watch?v=zsF8mj7teM0
Dota 2,TUNDRA vs EXECRATION - TI CHAMPIONS - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,49000,il y a 3 jours,https://www.youtube.com/watch?v=PMwyHsK23NQ
Dota 2,New HERO COMBO = OUT OF CONTROL - ABUSE to Win Offlane EASILY - Dota 2 Pro Guide,GameLeap Dota 2 Pro Guides,15000,il y a 6 jours,https://www.youtube.com/watch?v=pSSWbyp3ixM
Dota 2,LIQUID vs BB - CLASH OF TITANS! - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,44000,il y a 3 jours,https://www.youtube.com/watch?v=TdE0KutG2ec
Dota 2,STEAL CEB'S NEW BUILD! - This Makes Offlane Treant ABSOLUTELY BROKEN - Dota 2 Pro Guide,GameLeap Dota 2 Pro Guides,16000,il y a 3 jours,https://www.youtube.com/watch?v=XK8E7y1joMQ
Dota 2,TEAM SPIRIT vs PSG LGD - SUPER MATCH! - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,34000,il y a 2 jours,https://www.youtube.com/watch?v=U0smmIhD61U
Dota 2,TUNDRA vs EXECRATION - SEA vs WEU - LIMA MAJOR 2023 DOTA 2,NoobFromUA,40000,il y a 3 jours,https://www.youtube.com/watch?v=-4VGatUPvb4
Dota 2,They got 2x Grand master LVL30 but We got Top 1 Techies in the house🔥 (70Mins EPIC GAME),Techies Official,46000,il y a 5 jours,https://www.youtube.com/watch?v=EIZi_2eiL94
Dota 2,#1 MOST BROKEN Hero Combo! - ABUSE this to WIN ANY LANE? - Dota 2 Laning Guide (Offlane),GameLeap Dota 2 Pro Guides,14000,il y a 2 jours,https://www.youtube.com/watch?v=hamUOm4g2Ik
Dota 2,TUNDRA vs GAIMIN GLADIATORS - IMPRESSIVE GAME! - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,38000,il y a 2 jours,https://www.youtube.com/watch?v=3AUVwAgbS88
Dota 2,Lima Major 2023 Group Stage Day 2 - Line A,4D Esports,158000,Diffusé il y a 2 jours,https://www.youtube.com/watch?v=3sAzCoRkrvo
Dota 2,LIQUID vs BEASTCOAST - LIMA MAJOR 2023 - GROUP STAGE DOTA 2,NoobFromUA,38000,il y a 20 heures,https://www.youtube.com/watch?v=5zAqoOGsEeI
Dota 2,[ES] Geek Slate vs Team Liquid - The Lima Major Day 3 | Line A,4D Esports,158000,Diffusé il y a 1 jour,https://www.youtube.com/watch?v=KRaRkKT3VCo
Dota 2,SHOPIFY REBELLION vs BB - ARTEEZY vs 13K MMR PURE - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,31000,il y a 3 jours,https://www.youtube.com/watch?v=oMX1HZPqx3Q
Dota 2,TALON ESPORTS vs TUNDRA ESPORTS - THE LIMA MAJOR 2023 DOTA 2,LeagueOfDota,20000,il y a 22 heures,https://www.youtube.com/watch?v=LGXfdevTems
Dota 2,EG vs TUNDRA - UNBELIEVABLE CRAZY GAME !! - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,45000,il y a 1 jour,https://www.youtube.com/watch?v=9MzvD_aJr9Y
Dota 2,All Aboard Topson TINY AIRLINES is back! ✈️,Topson,28000,il y a 3 jours,https://www.youtube.com/watch?v=br91v1_p22Y
Dota 2,This can only make sense if it's Topson's Dazzle...,Topson,26000,il y a 2 jours,https://www.youtube.com/watch?v=UlufpcuzQag
Dota 2,EG vs PSG LGD - LIMA MAJOR 2023 DAY 1! - DOTA 2 MAJOR 2023 Dota 2 Highlights,DotA Digest,24000,il y a 3 jours,https://www.youtube.com/watch?v=uCAAsDaWrkU
Dota 2,PSG.LGD vs TSM - THE LIMA MAJOR 2023 DOTA 2,LeagueOfDota,40000,il y a 3 jours,https://www.youtube.com/watch?v=Nui0g7Y0xlw
Dota 2,LIQUID vs SHOPIFY REBELLION - GAME OF THE DAY! - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,27000,il y a 14 heures,https://www.youtube.com/watch?v=JTwuLDPQaio
Dota 2,Toss A COIN To Your TOXIC PUDGE! - Dota 2 - Grubby,Grubby,77000,il y a 5 jours,https://www.youtube.com/watch?v=WLCmTfn3uww
Dota 2,TEAM SPIRIT vs EG - GROUP STAGE - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,23000,il y a 2 jours,https://www.youtube.com/watch?v=vsb2TvApvy4
